"ISO3"	"PA1"	"PA3"	"PA2"
"AGO"	1.97717489981573	0.949124701611027	-0.960139038577626
"ARG"	-0.432151344122705	-1.06848709106685	-0.494436174423298
"AUT"	-1.0584919963734	0.384323900220671	1.50886975940539
"BEL"	-0.874678594987191	-0.659793651442414	1.73334118763001
"BGD"	0.976892119045413	-0.899379340626265	-0.497702736132659
"BGR"	-1.4376463653601	-1.11877389276985	-0.52951244848999
"BIH"	-0.616380222964579	-1.25332779554938	0.189138894776304
"BLR"	-1.21563790097685	-1.00427340484721	-1.35472297486565
"BOL"	0.152708047259085	1.29784252659025	-0.717823339251895
"BRA"	-0.795100541042688	1.34833347724103	-0.844056772486355
"CAN"	-0.818039779300287	0.593134878509374	1.152387280773
"CHL"	-0.642391041565803	0.120256076634907	-0.273402494544379
"CIV"	1.0027722544335	-0.568551301528876	1.2665154561708
"CMR"	1.07330196953223	-0.501855877668779	-0.279879495942384
"COD"	2.03094944121569	-0.122036970586261	-0.000803472254007121
"COL"	-0.391052734640368	1.25479289612847	-1.04959220470507
"CRI"	-0.124656461109769	1.03109493219143	1.28015742088085
"CUB"	-0.880160156830421	-0.74597019138101	-0.209125794898757
"CYP"	-0.376834700930252	1.2604257003342	1.79829104699143
"CZE"	-0.96589506066452	-0.702709048810148	-0.0735959612055178
"DEU"	-1.00994193965856	-1.86625435043474	2.27696277332873
"DZA"	-0.258134648664604	0.237362569447412	-1.60636607689681
"ETH"	1.72176833121829	0.289135078817617	0.00811082766744557
"FIN"	-1.11614386652541	-0.709302502224962	1.23442252735843
"GBR"	-0.619384509993492	-1.55697669861037	1.38768317977267
"GHA"	1.72589652539248	-0.664561527767525	1.36562154767743
"GTM"	0.779638030686513	2.47395416729579	0.0607633449665329
"HND"	0.752012351810134	0.621875771982653	-0.088270002142089
"HRV"	-1.3728196752643	-1.23673386633647	-0.217303048649865
"HTI"	1.05062589192168	-1.51371406864311	-0.557727143825124
"IDN"	0.163029221920205	-0.241546254750622	-1.47406137376789
"JOR"	0.283766353552181	1.74404485852971	0.693755771530455
"JPN"	-1.44287132988265	0.0200826555379066	1.2759784645038
"KEN"	1.52234415929727	1.21065638444904	0.353061220155179
"KGZ"	-0.186371726923326	0.617743184810669	0.925118112141594
"KHM"	1.18340854454375	-1.9906551309106	-0.881920969102349
"LBN"	-0.33334049095806	-1.7294608833924	-0.46387535093419
"LBY"	-0.115285970882049	0.620802330699435	-0.266238628188231
"LKA"	0.586497297525998	-0.747161230798195	0.392155510336688
"LUX"	-0.400438156961129	0.553552940861806	2.49140048358523
"MAR"	-0.630603166964882	0.383111495772189	-1.45880824482378
"MDA"	-1.5446479258855	-2.44168602792511	-0.990565389233543
"MEX"	-0.404864404055073	0.85414005945941	-0.23621130036924
"MKD"	-0.801529237264552	-0.732522002935824	0.064218589766276
"MYS"	-0.0847755654862786	1.33429072886142	-0.125371146669171
"NAM"	0.681871074306353	-0.110321746576007	0.269902957448083
"NGA"	1.33567103727806	0.387436648937279	-0.189988288198062
"NIC"	0.147995619567721	-0.117195603191656	-0.334301050143139
"NLD"	-0.934302212949882	0.217405540875218	1.98200368178925
"NPL"	1.44838219584784	-0.703830107455678	-0.354579804934972
"PAK"	0.708387247847213	1.06888231315717	-0.345049597153128
"PAN"	-0.116519503801796	1.12210273679872	-1.66908627096352
"PER"	-0.0156990963182474	0.262397651097742	-0.636457406954645
"PHL"	0.544658885256647	0.270096392648427	-0.488581345357341
"POL"	-1.24456922576055	0.652208592678821	0.328379960573447
"PRT"	-1.03574699510458	-0.974868252054348	0.303059658444197
"PRY"	0.597896623966981	0.866431376218456	0.105864407921924
"ROU"	-1.13873711912591	-1.39505504910559	-0.490095032936708
"SDN"	1.59693081701452	-0.287406669095987	-0.526724146464467
"SEN"	1.27946226442706	0.753256695112355	0.367093601586225
"SVN"	-1.34843673471296	-0.156995424995724	1.09651594210459
"SWE"	-0.984437683628246	-0.028179164963589	1.66765428670065
"THA"	-0.409900668067387	0.396215959020531	-0.783578006775702
"TTO"	-0.836005059317346	0.178590630424898	-0.821466761280875
"TUN"	-0.373099796389337	-0.493183087206387	-0.567997729866341
"TUR"	-0.546934646204216	0.277851599609618	-1.22874230722025
"TZA"	1.88750393744534	0.29269878870537	-0.406894181391194
"VEN"	-0.333769771088891	1.1116452689844	-1.67609016964692
"VNM"	0.351040884837288	-0.694659180638159	-1.63001825233062
"YEM"	1.20200325466615	1.72794619608956	-0.042640215549679
"ZMB"	1.50383874707685	0.252179689945137	0.265374253560835
