"meanx"	"sdx"	"meanxtransf"	"sdxtransf"
"CROPAREADIF.00.10"	6	8.44774989304408	0	1
"MEADOWAREADIF.00.10"	0	2.50647488233193	0	1
"CATT.DIFF.00.10.rel"	5	17.6896461268804	0	1
"POPDIF.00.10.rel"	14	10.8553933932841	0	1
"RURPOPDIF.00.10.rel"	2	12.5756622736353	0	1
"URBPOPDIF.00.10.rel"	24	18.795084761018	0	1
"AGRIPOPDIF.00.10.rel"	-12	21.0084821640946	0	1
"BIOENDIFF.00.09.rel"	-1	13.5677525113972	0	1
"FUELSHAREDIF.00.10"	1	6.24277590037423	0	1
"SOLIDFUELUSE.2010"	32	31.5348762650598	0	1
"FOREXSHAREDIF.00.10"	0	0.480060196645787	0	1
"ROAD.CHANGE.00.10.rel"	1	2.75505818286033	0	1
"GDPGROWTHAV.00.10"	5	2.15352678865555	0	1
"CPI2012"	43	19.1895942196751	0	1
